city_name,FrostDay_perYear,GVA,Rainfall_perMon,SummerDay_ave_temperature,SummerNight_ave_temperature,Sunshine_perMon,WinterDay_ave_temperature,WinterNight_ave_temperature,house_price,population,road_traffic_2015,road_traffic_2016,traffic_noise,unemployment,number_of_universities_per_person,pubs_number_per_person,total_jobs_per_person,school_number_per_person,stations_number_per_person,hospitals_number_per_person
Hawkes End,38.0,42900.0,52.1542635659,20.9212121212,11.4757575758,122.997533,7.790625,2.034375,159437.5085,316960.0,47.8,44.3,14900.0,9.43,6.30994447249e-06,9.07403519274e-07,0.452423018677,2.34067950651e-07,1.10700780219e-07,3.99363574208e-08
Doncaster,25.0,38100.0,68.7085271318,20.1515151515,12.0363636364,124.079069767,7.2875,2.484375,120285.729917,302402.0,36.8,33.2,8700.0,12.51,0.0,1.48759765932e-06,0.368714492629,2.43608546236e-07,4.64120201563e-07,8.37178844591e-08
Tickhill,25.0,38100.0,68.7085271318,20.1515151515,12.0363636364,124.079069767,7.2875,2.484375,120285.729917,302402.0,36.8,33.2,8700.0,12.51,0.0,1.48759765932e-06,0.368714492629,2.43608546236e-07,4.64120201563e-07,8.37178844591e-08
Conisbrough,25.0,38100.0,68.7085271318,20.1515151515,12.0363636364,124.079069767,7.2875,2.484375,120285.729917,302402.0,36.8,33.2,8700.0,12.51,0.0,1.48759765932e-06,0.368714492629,2.43608546236e-07,4.64120201563e-07,8.37178844591e-08
Edenthorpe,25.0,38100.0,68.7085271318,20.1515151515,12.0363636364,124.079069767,7.2875,2.484375,120285.729917,302402.0,36.8,33.2,8700.0,12.51,0.0,1.48759765932e-06,0.368714492629,2.43608546236e-07,4.64120201563e-07,8.37178844591e-08
Brodsworth,25.0,38100.0,68.7085271318,20.1515151515,12.0363636364,124.079069767,7.2875,2.484375,120285.729917,302402.0,36.8,33.2,8700.0,12.51,0.0,1.48759765932e-06,0.368714492629,2.43608546236e-07,4.64120201563e-07,8.37178844591e-08
Owston,25.0,38100.0,68.7085271318,20.1515151515,12.0363636364,124.079069767,7.2875,2.484375,120285.729917,302402.0,36.8,33.2,8700.0,12.51,0.0,1.48759765932e-06,0.368714492629,2.43608546236e-07,4.64120201563e-07,8.37178844591e-08
Thorne,25.0,38100.0,68.7085271318,20.1515151515,12.0363636364,124.079069767,7.2875,2.484375,120285.729917,302402.0,36.8,33.2,8700.0,12.51,0.0,1.48759765932e-06,0.368714492629,2.43608546236e-07,4.64120201563e-07,8.37178844591e-08
Exeter,20.0,43900.0,80.2534883721,19.6090909091,12.7393939394,122.997533,9.378125,3.765625,235586.202008,117773.0,25.8,24.4,4400.0,3.31,8.49091048033e-06,1.44019868029e-06,0.714085571396,3.41588352657e-07,1.04274339232e-06,5.37399397489e-07
Blackpool,60.0,38600.0,83.3356589147,18.3515151515,9.61818181818,122.997533,6.75625,0.6875,100720.306893,217822.0,65.4,67.3,12200.0,7.07,0.0,3.99503488938e-07,0.44485864605,9.35450760189e-08,2.41626552632e-07,1.1622543038e-07
Gloucester,38.0,47000.0,65.0573643411,21.0151515152,11.9515151515,130.052713178,8.378125,2.18125,236513.156917,121688.0,31.3,33.0,6800.0,8.24,0.0,2.54531682068e-07,0.518539215042,3.7353350745e-07,0.0,0.0
Aldershot,54.0,56400.0,74.6705426357,21.1181818182,11.5303030303,132.697674419,9.065625,1.709375,291698.323517,179951.0,26.7,26.2,22000.0,5.9,0.0,0.0,0.501803268668,2.61304152651e-08,0.0,0.0
Ipswich,27.2727272727,44200.0,53.2317829457,20.525,12.878125,143.59765625,7.796875,2.6125,175869.181567,133384.0,27.0,28.5,10300.0,7.88,0.0,6.52406952615e-07,0.507557128291,3.72115649345e-07,1.31528966361e-07,4.74503233075e-07
Huddersfield,36.0,41400.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,137990.993158,422458.0,55.0,56.8,125300.0,8.75,2.3670992146e-06,1.95861749172e-06,0.365953538577,1.01411774084e-07,5.8139278955e-07,2.99632811974e-08
Liverpool,54.0,44200.0,57.5348837209,20.0272727273,10.8363636364,115.246511628,7.828125,1.159375,118445.64315,612308.0,80.5,83.9,60000.0,11.42,3.26633001692e-06,1.18753738816e-06,0.474107801956,2.44036150689e-07,6.01692371538e-07,2.89421647069e-07
Garston,54.0,44200.0,57.5348837209,20.0272727273,10.8363636364,115.246511628,7.828125,1.159375,118445.64315,612308.0,80.5,83.9,60000.0,11.42,3.26633001692e-06,1.18753738816e-06,0.474107801956,2.44036150689e-07,6.01692371538e-07,2.89421647069e-07
Crosby,54.0,44200.0,57.5348837209,20.0272727273,10.8363636364,115.246511628,7.828125,1.159375,118445.64315,612308.0,80.5,83.9,60000.0,11.42,3.26633001692e-06,1.18753738816e-06,0.474107801956,0.0,6.01692371538e-07,2.89421647069e-07
Leicester,38.0,41400.0,52.1542635659,20.9212121212,11.4757575758,122.997533,7.790625,2.034375,147811.8376,479924.0,79.9,80.8,27300.0,10.98,4.16732649336e-06,5.65477931253e-07,0.471741359049,2.37324236038e-07,0.0,1.31877420676e-07
Oadby,38.0,41400.0,52.1542635659,20.9212121212,11.4757575758,122.997533,7.790625,2.034375,147811.8376,479924.0,79.9,80.8,27300.0,10.98,4.16732649336e-06,5.65477931253e-07,0.471741359049,2.37324236038e-07,0.0,1.31877420676e-07
Leeds,36.0,46600.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,165095.289533,751485.0,48.1,49.0,125300.0,8.65,2.66139710041e-06,1.22275102769e-06,0.541195100368,1.6407777317e-07,3.03492651801e-07,1.68442854456e-07
Guiseley,36.0,46600.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,165095.289533,751485.0,48.1,49.0,125300.0,8.65,2.66139710041e-06,1.22275102769e-06,0.541195100368,1.6407777317e-07,3.03492651801e-07,1.68442854456e-07
Harewood,36.0,46600.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,165095.289533,751485.0,48.1,49.0,125300.0,8.65,2.66139710041e-06,1.22275102769e-06,0.541195100368,1.6407777317e-07,3.03492651801e-07,1.68442854456e-07
Otley,36.0,46600.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,165095.289533,751485.0,48.1,49.0,125300.0,8.65,2.66139710041e-06,1.22275102769e-06,0.541195100368,4.86671361099e-09,3.03492651801e-07,0.0
Boston Spa,36.0,46600.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,165095.289533,751485.0,48.1,49.0,125300.0,8.65,2.66139710041e-06,1.22275102769e-06,0.541195100368,1.6407777317e-07,3.03492651801e-07,1.68442854456e-07
Micklefield,25.0,46600.0,68.7085271318,20.1515151515,12.0363636364,124.079069767,7.2875,2.484375,165095.289533,751485.0,48.1,49.0,125300.0,8.65,2.66139710041e-06,1.22275102769e-06,0.541195100368,1.6407777317e-07,3.03492651801e-07,1.68442854456e-07
Rothwell,36.0,46600.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,165095.289533,751485.0,48.1,49.0,125300.0,8.65,2.66139710041e-06,1.22275102769e-06,0.541195100368,1.6407777317e-07,3.03492651801e-07,1.68442854456e-07
Gildersome,36.0,46600.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,165095.289533,751485.0,48.1,49.0,125300.0,8.65,2.66139710041e-06,1.22275102769e-06,0.541195100368,1.6407777317e-07,3.03492651801e-07,1.68442854456e-07
Wetherby,36.0,46600.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,165095.289533,751485.0,48.1,49.0,125300.0,8.65,2.66139710041e-06,1.22275102769e-06,0.541195100368,1.6407777317e-07,3.03492651801e-07,1.68442854456e-07
Luton,26.0,49200.0,52.5782945736,22.5909090909,13.3090909091,125.642635659,8.7375,2.73125,217333.082467,203201.0,60.6,65.4,11000.0,8.48,4.92123562384e-06,3.55664521487e-07,0.424210510775,2.2112134987e-07,1.7267493417e-07,1.24588243642e-07
Ilkley,36.0,42400.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,129184.908492,522452.0,61.3,64.0,125300.0,12.31,1.91405143439e-06,1.33814215325e-06,0.379364994296,1.65004433999e-07,4.3653804644e-07,1.69599494186e-07
Bletchley,26.0,61700.0,52.5782945736,22.5909090909,13.3090909091,125.642635659,8.7375,2.73125,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Manchester,36.0,43600.0,76.3302325581,19.2090909091,11.3575757576,113.440310078,6.990625,1.85625,151623.277658,2364679.0,94.5,98.0,255700.0,9.84,1.26867113887e-06,2.54482706323e-07,0.455072337514,8.97040199203e-08,1.03867812539e-07,7.49425989208e-08
Stony Stratford,32.0,61700.0,57.2015503876,21.7,12.2939393939,134.903875969,8.38125,2.421875,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Bradwell,32.0,61700.0,57.2015503876,21.7,12.2939393939,134.903875969,8.38125,2.421875,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Stantonbury,32.0,61700.0,57.2015503876,21.7,12.2939393939,134.903875969,8.38125,2.421875,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Willen,32.0,61700.0,57.2015503876,21.7,12.2939393939,134.903875969,8.38125,2.421875,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Newport Pagnell,32.0,61700.0,57.2015503876,21.7,12.2939393939,134.903875969,8.38125,2.421875,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Milton Keynes,26.0,61700.0,52.5782945736,22.5909090909,13.3090909091,125.642635659,8.7375,2.73125,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Bow Brickhill,26.0,61700.0,52.5782945736,22.5909090909,13.3090909091,125.642635659,8.7375,2.73125,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Shenley Church End,32.0,61700.0,57.2015503876,21.7,12.2939393939,134.903875969,8.38125,2.421875,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Woughton On The Green,32.0,61700.0,57.2015503876,21.7,12.2939393939,134.903875969,8.38125,2.421875,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Shenley Brook End,32.0,61700.0,57.2015503876,21.7,12.2939393939,134.903875969,8.38125,2.421875,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
Walton,26.0,61700.0,52.5782945736,22.5909090909,13.3090909091,125.642635659,8.7375,2.73125,246719.53305,248821.0,26.7,27.0,2900.0,6.26,0.0,8.00234080917e-07,0.58355203138,2.45672699032e-07,3.5253977054e-07,1.01745655295e-07
